Genus_species	Reg	mass
Antechinus_bellus	3	3.673765816
Antechinus_flavipes	3	3.802208139
Antechinus_godmani	3	4.34120464
Antechinus_leo	3	4.264087337
Antechinus_minimus	3	3.975936331
Antechinus_stuartii	2	3.391147046
Antechinus_swainsonii	2	4.17438727
Dasycercus_cristicauda	3	4.615120517
Dasykaluta_rosamondae	3	3.490428515
Dasyurus_geoffroii	3	7.038783541
Dasyurus_hallucatus	3	6.182084907
Dasyurus_maculatus	3	8.119696253
Dasyurus_viverrinus	3	7.029972912
Myrmecobius_fasciatus	3	6.257667588
Ningaui_ridei	3	2.257587727
Ningaui_timealeyi	3	1.867176109
Ningaui_yvonnae	3	2.240709689
Parantechinus_apicalis	3	4.294560609
Phascogale_tapoatafa	3	5.272999559
Planigale_gilesi	3	2.24495598
Planigale_ingrami	3	1.86252854
Planigale_maculata	3	2.509599262
Planigale_tenuirostris	3	1.85159947
Pseudantechinus_macdonnellensis	3	3.634951112
Sminthopsis_crassicaudata	3	2.791165108
Sminthopsis_dolichura	3	2.681021529
Sminthopsis_gilberti	3	2.970414466
Sminthopsis_granulipes	3	3.218875825
Sminthopsis_griseoventer	3	2.862200881
Sminthopsis_hirtipes	3	2.708050201
Sminthopsis_leucopus	3	3.17805383
Sminthopsis_longicaudata	3	2.890371758
Sminthopsis_macroura	3	3.17805383
Sminthopsis_murina	3	2.833213344
Sminthopsis_ooldea	3	2.517696473
Sminthopsis_psammophila	3	3.511545439
Caluromys_derbianus	2	5.799092654
Caluromys_lanatus	2	5.863631176
Caluromysiops_irrupta	1	5.556828062
Chironectes_minimus	3	6.886531643
Didelphis_albiventris	2	6.946975992
Didelphis_aurita	2	7.012115294
Didelphis_marsupialis	2	7.047517221
Didelphis_virginiana	2	7.81197343
Marmosa_mexicana	2	3.897924081
Marmosa_murina	2	3.60004824
Marmosa_robinsoni	2	4.122283931
Marmosops_incanus	2	3.889777396
Micoureus_demerarae	2	4.709530201
Monodelphis_domestica	2	4.555979942
Philander_opossum	2	6.059123196
Thylamys_elegans	2	3.363841595
Acrobates_pygmaeus	2	2.63188884
Aepyprymnus_rufescens	1	7.937374696
Bettongia_gaimardi	2	7.414572881
Bettongia_lesueur	1	7.279318835
Bettongia_penicillata	1	7.138867
Burramys_parvus	2	3.790984677
Cercartetus_caudatus	2	3.135494216
Cercartetus_lepidus	2	2.091864062
Cercartetus_nanus	2	3.295836866
Dactylopsila_trivirgata	2	6.023447593
Dendrolagus_bennettianus	1	9.259130536
Dendrolagus_lumholtzi	1	8.802372134
Gymnobelideus_leadbeateri	2	4.919980926
Hemibelideus_lemuroides	1	6.907755279
Hypsiprymnodon_moschatus	2	6.284134161
Lagorchestes_conspicillatus	1	7.944492164
Lagorchestes_hirsutus	1	7.258412151
Lagostrophus_fasciatus	1	7.575584652
Lasiorhinus_krefftii	1	10.37036129
Lasiorhinus_latifrons	1	10.17351469
Macropus_agilis	1	9.384293679
Macropus_antilopinus	1	10.21464198
Macropus_bernardus	1	9.740968623
Macropus_dorsalis	1	9.323669057
Macropus_eugenii	1	8.571681377
Macropus_fuliginosus	1	10.15034763
Macropus_giganteus	1	10.42228135
Macropus_irma	1	8.987196821
Macropus_parma	1	8.333270353
Macropus_parryi	1	9.449357272
Macropus_robustus	1	10.16585182
Macropus_rufogriseus	1	9.729134165
Macropus_rufus	1	10.57131693
Onychogalea_fraenata	1	8.50512061
Onychogalea_unguifera	1	8.779557456
Petauroides_volans	1	7.138867
Petaurus_australis	2	6.34738921
Petaurus_breviceps	2	4.779123493
Petaurus_norfolcensis	2	5.438079309
Petrogale_assimilis	1	8.444622499
Petrogale_brachyotis	1	8.301521655
Petrogale_burbidgei	1	7.138867
Petrogale_concinna	1	7.244227516
Petrogale_godmani	1	8.465899897
Petrogale_lateralis	1	8.429454277
Petrogale_penicillata	1	8.847934753
Petrogale_persephone	1	8.635864721
Petrogale_rothschildi	1	8.422882512
Petrogale_xanthopus	1	9.047821442
Petropseudes_dahli	1	7.539027056
Phalanger_orientalis	1	7.60090246
Phascolarctos_cinereus	1	8.791790024
Potorous_longipes	2	7.517520851
Potorous_tridactylus	2	6.993932975
Pseudocheirus_peregrinus	1	6.795705775
Setonix_brachyurus	1	8.016317899
Tarsipes_rostratus	1	2.276241118
Thylogale_billardierii	1	8.672486076
Thylogale_stigmatica	1	8.420682291
Thylogale_thetis	1	8.594154233
Trichosurus_caninus	1	8.051978079
Trichosurus_vulpecula	1	7.901007052
Vombatus_ursinus	1	10.16585182
Wallabia_bicolor	1	9.61580548
Wyulda_squamicaudata	1	7.501082124
Notoryctes_typhlops	3	4.055257174
Isoodon_auratus	2	6.052089169
Isoodon_macrourus	2	7.31986493
Macrotis_lagotis	2	7.114769448
Perameles_bougainville	2	5.442417711
Perameles_gunnii	2	6.805722553
Perameles_nasuta	2	6.579251212
