species	standard_length	body_mass	gape_distance	protrusion_distance	adductor_mass	sternohyoideus_mass	levatorposterior_mass	jawclosinglever	jawopeninglever	jawkt	hyoidKT
Bolobometopon_muricatum	473.8	5920.1	28.15	3.55	55.984	14.356	31.181	0.52	0.21	0.57	3.37
Calotomus_carolinus	230	467.4	18.47	1.2	1.277	1.182	1.7592	0.48	0.15	0.71	2.9
Calotomus_spinidens	68.5	11.2	5.15	1.1	0.023	0.057	0.0679	0.45	0.14	0.87	3.92
Cetoscarus_bicolor	359	1956.2	21.48	1.94	19.284	5.698	8.3376	0.48	0.2	0.54	3.5
Chlorurus_bleekeri	173.7	207	10.13	1.9	1.961	0.39	0.5962	0.7	0.31	0.64	3.89
Chlorurus_frontalis	295.7	930	15.4	4.6	9.302	1.755	2.3061	0.8	0.26	0.64	4.2
Chlorurus_microrhinos	259.7	698	13.1	3.33	6.743	0.753	2.4333	0.54	0.28	0.49	2.64
Chlorurus_sordidus	190	283.7	12.23	2.98	3.072	0.558	0.734	0.68	0.29	0.58	3.97
Hipposcarus_longiceps	223.4	432.3	14.38	5.58	1.684	1.342	1.336	0.71	0.21	0.82	3.91
Leptoscarus_vaigiensis	222.7	306.3	16.67	2.37	0.976	1.41	1.095	0.55	0.18	0.75	3.16
Scarus_altipinnis	262.5	763.5	13.28	4.65	4.123	1.436	1.5935	0.95	0.34	0.82	4.24
Scarus_chameleon	179.7	231.6	11.33	4.33	0.844	0.39	0.569	0.84	0.28	0.95	2.87
Scarus_dimidiatus	164.5	183.5	8.05	2.9	1.284	0.439	0.3111	1	0.36	0.99	4.73
Scarus_flavipectoralis	200.7	279.1	11.2	4.53	0.978	0.477	0.6013	0.93	0.27	1.01	2.95
Scarus_forsteni	211	289	9.7	2.6	1.645	0.41	0.7898	1.03	0.29	0.94	4.32
Scarus_frenatus	239.7	509.5	10.37	4.23	3.31	1.147	0.8967	0.97	0.38	0.74	4.25
Scarus_ghobban	258.7	612	14.27	4.57	2.672	1.141	1.3002	0.87	0.37	0.85	3.92
Scarus_globiceps	203.7	316.3	9	1.37	1.537	0.452	0.45	1	0.34	0.69	3.82
Scarus_niger	241.3	584	10.93	4.47	3.452	1.404	1.255	0.96	0.34	0.71	4.57
Scarus_oviceps	234.3	551.5	10.9	5.08	4.739	1.19	0.8261	0.97	0.34	0.8	4.53
Scarus_psittacus	201	287.8	10.27	4.53	0.933	0.365	0.5807	0.94	0.32	0.96	2.92
Scarus_quoyi	185.3	262.3	11.03	3.77	1.258	0.724	0.441	0.93	0.28	0.81	4.09
Scarus_rivulatus	222.7	418.8	10.6	5.07	2.389	1.041	1.083	1.04	0.39	0.86	3.94
Scarus_rubroviolaceus	321	1242.8	15.6	3.98	9.328	2.319	3.754	0.94	0.31	0.73	4.35
Scarus_schlegeli	223	415.1	11.23	3.77	1.348	0.668	0.897	0.94	0.31	0.97	3.67
Scarus_spinus	199.7	307.9	8.73	4.13	2.337	0.514	0.4294	0.94	0.34	0.69	3.61
Scarus_guacamaia	247.2	909.9	14.42	0.9	4.14	1.589	1.9231	0.997	0.276	0.766	4.688
Scarus_inserti	188.8	217.3	9.98	1.57	0.839	0.27	0.3436	0.886	0.192	0.749	3.348
Scarus_taeniopterus	248.9	538.3	13.43	4.1	1.82	0.618	0.8933	0.846	0.206	0.801	3.985
Scarus_vetula	293.1	937.6	17.62	7	4.256	1.419	1.3243	0.859	0.226	0.738	3.896
Sparisoma_atomarium	64.7	7.1	3.77	0.37	0.019	0.02	0.0202	0.595	0.18	0.808	5.034
Sparisoma_aurofrenatum	215.8	338.8	14.45	2.33	1.059	1.256	0.9268	0.683	0.178	0.692	3.628
Sparisoma_chrysopterum	220.3	319.2	14.76	1.87	1	0.94	0.8453	0.593	0.191	0.765	3.888
Sparisoma_radians	78	14.1	4.95	0.63	0.035	0.036	0.0451	0.64	0.199	0.783	4.316
Sparisoma_rubripinne	289.7	839.5	22.28	0.53	2.582	2.128	2.2029	0.588	0.162	0.673	3.617
Sparisoma_viride	276.7	837.5	20.89	4.2	4.064	2.864	2.2646	0.57	0.175	0.527	4.503
Cryptotomus_roseus	43.8	1.7	1.83	0.13	0.004	0.005	0.0084	0.469	0.155	0.75	4.17
