Species	imj	habitat	feeding
Bolobometopon_muricatum	0	coral_reef	excavate
Calotomus_carolinus	0	rocky_reef/seagrass	bite
Calotomus_spinidens	0	rocky_reef/seagrass	bite
Cetoscarus_bicolor	0	coral_reef	excavate
Chlorurus_bleekeri	1	coral_reef	excavate
Chlorurus_frontalis	1	coral_reef	excavate
Chlorurus_microrhinos	1	coral_reef	excavate
Chlorurus_sordidus	1	coral_reef	excavate
Hipposcarus_longiceps	1	coral_reef	scrape
Leptoscarus_vaigiensis	0	seagrass	bite
Scarus_altipinnis	1	coral_reef	scrape
Scarus_chameleon	1	coral_reef	scrape
Scarus_dimidiatus	1	coral_reef	scrape
Scarus_flavipectoralis	1	coral_reef	scrape
Scarus_forsteni	1	coral_reef	scrape
Scarus_frenatus	1	coral_reef	scrape
Scarus_ghobban	1	coral_reef	scrape
Scarus_globiceps	1	coral_reef	scrape
Scarus_niger	1	coral_reef	scrape
Scarus_oviceps	1	coral_reef	scrape
Scarus_psittacus	1	coral_reef	scrape
Scarus_quoyi	1	coral_reef	scrape
Scarus_rivulatus	1	coral_reef	scrape
Scarus_rubroviolaceus	1	coral_reef	scrape
Scarus_schlegeli	1	coral_reef	scrape
Scarus_spinus	1	coral_reef	scrape
Scarus_guacamaia	1	coral_reef	scrape
Scarus_inserti	1	coral_reef	scrape
Scarus_taeniopterus	1	coral_reef	scrape
Scarus_vetula	1	coral_reef	scrape
Sparisoma_atomarium	0	coral_reef/seagrass/rocky_reef	excavate/bite
Sparisoma_aurofrenatum	0	coral_reef/seagrass/rocky_reef	excavate/bite
Sparisoma_chrysopterum	0	coral_reef/seagrass/rocky_reef	excavate/bite
Sparisoma_radians	0	coral_reef/seagrass/rocky_reef	excavate/bite
Sparisoma_rubripinne	0	coral_reef/seagrass/rocky_reef	excavate/bite
Sparisoma_viride	0	coral_reef/seagrass/rocky_reef	excavate/bite
Cryptotomus_roseus	0	seagrass	bite
