	alpha_1	alpha_2	alpha_3	sigma.sq_1	sigma.sq_2	sigma.sq_3	theta_1	theta_2	theta_3
1	0.030714825	0.030461271	0.01987899	0.082481944	0.082481944	0.082481944	8.973178747	6.234255391	4.281065188
2	4.42E-08	2.06E-09	3.84E-05	0.039489145	0.039489145	0.039489145	7.418752723	6.010910712	3.783723941
3	0.016743264	0.019467077	0.014403127	0.078423517	0.078423517	0.078423517	7.710380197	5.745613718	2.451044283
4	0.015561796	0.013850644	0.006858675	0.066959793	0.066959793	0.066959793	8.67991792	5.962204351	3.426051178
5	0.007756165	0.000659191	0.007345968	0.029535124	0.029535124	0.029535124	8.448850407	5.882998414	5.44344669
6	0.030679437	0.028880045	0.024079027	0.058614305	0.058614305	0.058614305	9.770316403	6.253986454	3.952113599
7	0.027696283	0.031364468	0.018908806	0.09920646	0.09920646	0.09920646	8.389018979	5.318965784	4.648851439
8	0.055600771	0.054498371	0.062689558	0.083242549	0.083242549	0.083242549	8.161956246	5.560638688	4.279596637
9	0.055292672	0.387346176	2.59E-09	2.17E-09	2.17E-09	2.17E-09	-9.26E-11	6.341943745	-4.29E-13
10	0.06525686	0.411471833	2.94E-09	2.06E-09	2.06E-09	2.06E-09	6.08E-28	5.795124857	2.23E-20
11	0.040258904	0.035195976	0.037963376	0.046860748	0.046860748	0.046860748	9.910593377	5.499407615	4.135684794
12	0.04670228	0.398062362	2.52E-06	3.16E-09	3.16E-09	3.16E-09	-5.15E-11	8.07003382	-1.45E-10
13	0.003506042	0.000234625	0.01323856	0.02924913	0.02924913	0.02924913	7.802129774	5.256351929	4.054319298
14	0.063921062	0.062815216	0.059299738	0.106674691	0.106674691	0.106674691	6.830608556	4.360341211	4.208920818
15	0.007586489	0.012014271	0.008764404	0.07989489	0.07989489	0.07989489	8.844041191	5.550075998	3.62861464
16	0.137209975	0.493122277	2.61E-05	2.06E-09	2.06E-09	2.06E-09	-1.97E-30	4.083767922	1.96E-19
17	0.00925872	8.77E-06	0.023688261	0.023157868	0.023157868	0.023157868	7.892121689	5.581874195	4.069752249
18	0.024237184	0.020336851	0.027918989	0.063553728	0.063553728	0.063553728	8.277550917	5.067138376	4.750086899
19	0.001885216	0.000191679	0.00015525	0.036370799	0.036370799	0.036370799	9.370645367	5.679222683	3.333936448
20	0.019092296	0.015335958	0.020645239	0.052002162	0.052002162	0.052002162	9.03768995	5.346682877	4.510495773
21	0.068248043	0.067115936	0.064110377	0.118855928	0.118855928	0.118855928	7.498095062	4.954019064	5.251119538
22	0.038529433	0.038504753	0.048435112	0.08067569	0.08067569	0.08067569	8.277008455	5.001853807	3.846990506
23	2.50E-07	2.96E-09	0.015950793	0.029760982	0.029760982	0.029760982	7.14613848	5.669384603	3.785009803
24	0.003496359	0.000259683	0.008213964	0.03418256	0.03418256	0.03418256	9.16601656	5.721574313	4.582966949
25	0.032540286	0.023861108	0.031835689	0.067723809	0.067723809	0.067723809	7.63771201	5.179141882	4.371395195
26	0.058778568	0.059851698	0.059280821	0.126906129	0.126906129	0.126906129	8.081804042	4.044125634	3.977457006
27	0.054882204	0.05528175	0.047474918	0.107313553	0.107313553	0.107313553	7.672742093	5.220959738	2.650997157
28	0.024243574	0.022902787	0.018035948	0.073700899	0.073700899	0.073700899	9.109444619	5.048145498	3.667239673
29	0.073898898	0.419147495	7.06E-07	3.97E-09	3.97E-09	3.97E-09	1.06E-29	4.415313469	2.20E-18
30	0.127090261	0.483178937	7.69E-06	2.31E-09	2.31E-09	2.31E-09	-4.07E-27	5.236125627	1.65E-19
31	0.030555133	0.021882983	0.030643271	0.045469903	0.045469903	0.045469903	9.279499025	6.058344272	5.111008511
