#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_4_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_4_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_4_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_4_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_4_1_1" id="treeLikelihood.simcoal_input_4_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_4_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_4_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-11956.819054058824	-11234.757307269207	-722.0617467896167	0.14276471497952758	0.06254688962378635	0.004583915643779806	0.0023675929423744003	0.0023286818394612167	0.0021516330561068444	0.08201158836278336	0.011154510178474143	0.007177448800346163	0.09469989448583824	0.047293948353149415	0.027817349241091596
1000	-11954.777891681146	-11249.438554434058	-705.3393372470866	0.09175675162784612	0.12661412102594327	0.004954555504741295	0.0035928505180109426	0.0028489172670799626	0.00231413932542365	0.10885402060210618	0.013958202009561632	0.008624055146495054	0.08838509648776358	0.05319708314311861	0.03267255514464959
2000	-11960.809449010532	-11248.278552311613	-712.5308966989202	0.059112921000144966	0.11159604502958861	0.0035747208678252184	0.002956224982542445	0.002659673562914451	0.0021777023147329937	0.08890451257806926	0.017855233555097563	0.007921509793315467	0.09187943825102313	0.0632539996692576	0.03060097342339508
3000	-11960.689949958964	-11244.041364167002	-716.6485857919607	0.09753697027810572	0.08847884845587593	0.003652089697175513	0.0025382830974581875	0.0021557599854967464	0.0036640286172314844	0.10285498353548164	0.011809986627123853	0.006949740307063847	0.07370074995478663	0.05686033495096506	0.02833916827509966
4000	-11956.68052114142	-11239.344686728864	-717.3358344125547	0.14833030125401836	0.09153305534643742	0.0039011288691998304	0.003056095460142189	0.0025872584500898936	0.00221881056586013	0.06430226998164601	0.01004986422437167	0.009432907416977351	0.11804090648485142	0.046558675472941125	0.03246497783654878
5000	-11952.868044815836	-11238.265288968014	-714.6027558478214	0.1274195020796396	0.1336191406406413	0.00431762231244613	0.003054688455349479	0.00266581604958102	0.0022862128190862204	0.0959277313115879	0.01089914054441066	0.007156914994077133	0.12124157457837796	0.05187703742601144	0.03376595549261876
6000	-11955.699070126771	-11236.726897188395	-718.9721729383763	0.14396234054271803	0.09082267667252689	0.004302042448157922	0.002863989316009118	0.002189937879457605	0.0017780239765996717	0.08124956348749447	0.01482691640504249	0.007056263524534465	0.16085237586442327	0.050692166146375076	0.029535754558819318
7000	-11956.673005446699	-11227.488819235696	-729.1841862110039	0.1396370758149545	0.11679167405186511	0.0028214634628857082	0.0030135226306738767	0.0018381033112411533	0.002306309594879541	0.07298733842660039	0.013532023818035813	0.004096453788897371	0.10388413239876144	0.048123833794510365	0.0243036832285136
8000	-11957.766805540385	-11227.87306094471	-729.8937445956745	0.12353325449372148	0.13231148042651514	0.0041027646753235844	0.0024885698734185622	0.0016297287957447357	0.0020131841575408327	0.06581344996771415	0.010114178627217228	0.005314730150503228	0.11922033453480683	0.05421271435781337	0.024427518476892493
9000	-11962.708855498937	-11232.200316801485	-730.5085386974513	0.11003867417224983	0.08248425355571001	0.0034281269003555645	0.001859585004621239	0.002229509634052713	0.002284194892094554	0.09336560429349254	0.015047028480745458	0.004799159590723735	0.07522186560222754	0.05170322362648519	0.027991724790893263
10000	-11957.087406660346	-11233.570966959302	-723.5164397010448	0.14538634519081253	0.06467507059181743	0.004287956718903437	0.0031781080992516293	0.002755988175995241	0.002447976011410481	0.08299822303347057	0.008836620276696149	0.004377084917611304	0.07392285148049248	0.0540561153983223	0.024687374328492457
11000	-11954.958835386089	-11222.354373097489	-732.6044622886003	0.11248374176568697	0.15410082693391663	0.003441468830403282	0.0021436651566174064	0.002093260102082792	0.0020996130688159835	0.06874711384872857	0.010525484174991395	0.005320655439765936	0.07128102003715296	0.043465882239239084	0.023608164881266724
12000	-11952.328749591714	-11229.703017093923	-722.6257324977914	0.11853920101950617	0.07800158442419479	0.004043044103219981	0.0030449676830991155	0.0020759715489435566	0.0018041959389061757	0.0785416343021879	0.01025368249993378	0.007223147499131701	0.09881788535375237	0.04907747755727744	0.025156293197416933
