#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.simcoal_input_10_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.simcoal_input_10_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.simcoal_input_10_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.simcoal_input_10_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.simcoal_input_10_1_1" id="treeLikelihood.simcoal_input_10_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.simcoal_input_10_1_1">
#            <siteModel id="MutationSiteModel.simcoal_input_10_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-12017.368802825808	-11299.846948194296	-717.5218546315112	0.12323409553707725	0.15236967226398468	0.0032816856715327126	0.0029491815222329482	0.0029227539255469647	0.002311103658375503	0.06979691465108195	0.007027343595049451	0.014298773731771469	0.12939842046788	0.04663243929068028	0.029034194910678116
1000	-12021.86920719714	-11307.016494435158	-714.8527127619816	0.07326900861687072	0.12649180981894573	0.0036850267581617943	0.0040541602615771595	0.0024336639028625833	0.001986630297984019	0.07331678697981468	0.007488322089671243	0.01478338751562005	0.10491228963314905	0.04220914466795465	0.029288160535986336
2000	-12021.32990888693	-11304.844328358791	-716.4855805281383	0.1858322838515876	0.09566686364117885	0.003090730384778403	0.0037783329823024604	0.00336830286784234	0.0023680437394711946	0.08103916511070473	0.00745392959529791	0.014191730295649529	0.12448286142830929	0.04508053480054478	0.03514499629633826
3000	-12020.160917415553	-11309.628409162706	-710.5325082528477	0.07394466846189694	0.07860883605468702	0.003275066130373832	0.002975031067782376	0.002769774204727475	0.0023191539393867546	0.0745993445201719	0.014121720215382527	0.01501483384613251	0.15389788067630936	0.046675351179770466	0.03288457109543577
4000	-12017.32175390448	-11309.828460802148	-707.4932931023328	0.08531846323620423	0.09674762727603825	0.003861985512886887	0.0026023270990464206	0.0036195466292621974	0.0024960642757884425	0.07250642949848274	0.00962320237524078	0.01365699095309619	0.12735019144959991	0.053598707607368734	0.029011062737399774
5000	-12013.54959856899	-11305.27384532441	-708.2757532445818	0.11645402063449331	0.09505351382351797	0.0036411339027020667	0.0029189504256171396	0.003604603950916389	0.002615305764535059	0.09561165731547851	0.008362959155666146	0.011640953957948218	0.11579147920454323	0.057474423651322916	0.030712462039976664
6000	-12016.507047767756	-11301.520871092664	-714.9861766750926	0.13417744081725388	0.10795282257660843	0.0031348048918357282	0.002142800077708974	0.00349167120181506	0.0027763745276379106	0.0839818195959907	0.008857040072649312	0.010967143874286269	0.147000134957553	0.05273819608866519	0.03136245384153043
7000	-12018.65860713902	-11313.102887826211	-705.5557193128082	0.12913552413261184	0.10704370605655893	0.003987400637646336	0.00261114017060734	0.003956145187841251	0.0038023678386854085	0.08593557941860755	0.010803016325501045	0.007534824284814852	0.11079407528019668	0.05553099445174381	0.029231672569894184
8000	-12018.76278357006	-11303.83477010162	-714.9280134684407	0.14351780609134876	0.166218603968024	0.0027535200452896294	0.002621011226157914	0.0030819782315988117	0.00295587329875416	0.08872657931633532	0.00929973276324949	0.011152032471143335	0.06461383469329736	0.060657355017789114	0.02708039736267858
9000	-12020.433493334014	-11304.4568183164	-715.976675017615	0.12076153779566288	0.10846827073842184	0.002411086292999606	0.003048322557928339	0.0032359038044840935	0.0025308334400668095	0.10900275351255942	0.009307885039329824	0.009505070139886378	0.08956607404316444	0.05997466128843267	0.030147761855528938
10000	-12022.417059141493	-11320.79598493353	-701.6210742079634	0.06212610802129215	0.13950159441799262	0.003400662306375183	0.003738744968130036	0.004098401632516029	0.00300306630856657	0.12744456481044994	0.01245076364483643	0.010684775996910142	0.1035642648513566	0.06868022945467639	0.03548273121154797
11000	-12020.063953966848	-11305.674302953348	-714.3896510135007	0.07055014038068505	0.07413927412848698	0.0037640024412667616	0.0024860297090074394	0.002773113569069068	0.00228864935696554	0.10073838117484664	0.011840265529416825	0.01094827860301621	0.07517904459790528	0.05567543438354686	0.02647374237206126
12000	-12016.614442139804	-11304.277744900983	-712.3366972388213	0.0970421092376246	0.08538344633624352	0.0034271211950393397	0.0022921549172318046	0.0029308839112099153	0.002498300169635412	0.09652514984254963	0.013529860738726224	0.010150956235925858	0.10256626264036128	0.056075860443245355	0.03246488027496728
13000	-12023.737004571374	-11307.830117074105	-715.9068874972687	0.1226262328687421	0.14845855371526187	0.002984885425211885	0.002687644519727106	0.002414665122498725	0.0035008080664425765	0.09494267193678241	0.008143152841527234	0.011674012294030483	0.08766411296210579	0.04731734477823216	0.031779550510049485
14000	-12021.510562756052	-11307.785945331982	-713.72461742407	0.08078263759472015	0.04683863625369054	0.0034021062695802065	0.0032728668555954818	0.0025372464859377344	0.0029496876421968065	0.09282657470008986	0.010062716704354243	0.011935494432072006	0.10518582088773124	0.0573142647370899	0.03278200055449414
15000	-12025.213947641507	-11320.126687033344	-705.0872606081622	0.07994646151934635	0.14015743328349956	0.0036774113782298574	0.002749354658278545	0.0032045377099500258	0.0036273856058440055	0.11110448099862297	0.008192538541726847	0.016070790759319706	0.09559549075313713	0.05688731991412948	0.03921124385590896
16000	-12026.196140242462	-11312.889665341236	-713.3064749012262	0.09835987168574861	0.1468275256592621	0.002782920952179319	0.004284079571423126	0.0032643752742123576	0.0029537608339834697	0.07245404698879268	0.008383769973795098	0.012682118456486488	0.12932953174680656	0.039453331079182793	0.03585700315991284
17000	-12018.419425937922	-11302.31240723118	-716.1070187067413	0.13328498799185068	0.1307360490541609	0.002826076291764876	0.002027973810842662	0.0030377680186389846	0.0025216343248187765	0.07903170716159151	0.00985257682298076	0.013242795362400491	0.141435969215031	0.05255001153159031	0.029533625243525246
18000	-12019.094541404651	-11300.86369057337	-718.2308508312825	0.15087470260643196	0.0863469226565077	0.0034249953976051343	0.0025800641645833218	0.002875007765188642	0.0030911397600774672	0.07412601245417785	0.006471321211918135	0.0093562860097844	0.11255870300748197	0.05664069831884307	0.02510424031872177
19000	-12017.622998558272	-11302.303754965069	-715.3192435932027	0.08251776578018225	0.09187982181365756	0.0032949424420669624	0.002944940135434671	0.00266379462744283	0.002395966674779101	0.08468175769842963	0.012119624488561522	0.00962986660674047	0.12440329499735482	0.0487331030059808	0.028006692393200527
20000	-12022.001280315393	-11310.173391741486	-711.8278885739076	0.13883936445027983	0.08193902446282099	0.003712165504342492	0.002680153598705747	0.003470089144815837	0.002347955915222938	0.11042370531867174	0.009463610395993503	0.010197055531767118	0.09836061822833299	0.06074845514682352	0.02902205494070861
21000	-12023.935973696392	-11309.863313016502	-714.0726606798916	0.08379328588976788	0.05754672726508459	0.0034640260942918758	0.003762253750918642	0.0026165855514733018	0.00235795930672138	0.10006093472616873	0.008982861983909117	0.011454382994840619	0.0712442751126045	0.058675119953655694	0.02877742731187111
22000	-12022.110992334823	-11309.776689787917	-712.3343025469056	0.0981306440645484	0.08643498938450152	0.0027827494669913464	0.003211825180543788	0.002977070893174475	0.00211056684389665	0.11556015219610667	0.009999872676302533	0.013666731884396969	0.09550151524142043	0.05638954161393976	0.03209530574415852
23000	-12016.908134490592	-11310.218135033934	-706.6899994566579	0.14223481957998785	0.07362271821068513	0.003497166229692103	0.0025250406506873357	0.00320151575570291	0.0029593130350237225	0.09120492956061621	0.00986265438211277	0.018021486977222837	0.10005588057790878	0.04861758944550398	0.033972657922915206
24000	-12025.044745773579	-11312.006286785789	-713.0384589877913	0.17984460525913337	0.05242077797676937	0.0031833432332930766	0.002737405071608487	0.0029160659829640845	0.0026343256156274096	0.09908259922166732	0.010119208431811964	0.01951856161794678	0.10903982974407764	0.04252149825692965	0.03719849484013291
25000	-12014.871582038239	-11303.10726471932	-711.7643173189182	0.11889362884699586	0.12354708883536383	0.0035927862623044847	0.0028481433613573304	0.002790696208822199	0.00221388242844686	0.0871549324808709	0.009917785608147463	0.014694153542717567	0.11180909981826699	0.05030083188810299	0.03208914513951174
26000	-12013.80291583353	-11304.257397371848	-709.5455184616817	0.11771662480175916	0.09031581979287762	0.0034282077376633097	0.0028749560837070354	0.002647496684378766	0.002703249742936941	0.0881104626634723	0.010157128706274417	0.013575882983287355	0.10139172411258855	0.054810463434663254	0.030635929502802077
27000	-12020.516532542631	-11297.753160926075	-722.7633716165562	0.13185215815093856	0.10495038604115767	0.0032924794302452544	0.0017890013179736655	0.002676700264911225	0.0017783544710023476	0.0652756354803346	0.011658915890179781	0.010232677716705182	0.10038930240322586	0.053625843165093834	0.02363582578929008
28000	-12016.03898503035	-11305.05177525054	-710.9872097798103	0.07946325302403949	0.09870286656204892	0.004313537167552027	0.002516093443848787	0.003069076878931206	0.002554323881551313	0.0914334312985777	0.010373132611594683	0.009980808375620579	0.12145186338857614	0.058691478744475126	0.03156640056696316
29000	-12023.010902320502	-11300.5746521077	-722.4362502128027	0.08473499277717647	0.12333936591646613	0.0038015345577208258	0.0022996958591116673	0.003523576104126644	0.002419115088086321	0.09172667426887224	0.006884928935696602	0.00777765586627458	0.11257186677067449	0.04512388511449699	0.029855580532627466
30000	-12014.174794369621	-11299.454478192793	-714.720316176829	0.11672695701445143	0.10818920283434381	0.003562332159308306	0.0026916679468448465	0.0030741735967924244	0.0024067997881586423	0.08777289016835445	0.009874643507145174	0.009947193289756226	0.0935222500056575	0.04703625128301503	0.030300041461942276
31000	-12016.58617993794	-11305.480763402602	-711.1054165353388	0.12714659505671774	0.08884413436366867	0.0036492036098650306	0.0027967914088260254	0.0027815677124117056	0.0026160942523203194	0.07382013045884961	0.0087759826573775	0.012926340801225596	0.10228355088693644	0.05644924657125617	0.02674865069587378
32000	-12014.643993544825	-11304.784977317937	-709.8590162268883	0.10263878886766922	0.09634322231854016	0.0032711341446366488	0.0032948646680137274	0.0030437447722094636	0.0031309166259502834	0.0918339636056616	0.008373464996047904	0.01134238536662147	0.11321702749732432	0.04755468192396207	0.031099911039466705
33000	-12023.249772903566	-11317.668142404642	-705.5816304989233	0.08886567066470083	0.08783762831906221	0.004088422097736087	0.0032837298037579456	0.003931411176628942	0.0025932543726884362	0.0932201725877215	0.009826390878325179	0.012626028229918174	0.13610179527075916	0.06287890186170157	0.03369441255416293
34000	-12017.534323887592	-11298.890190520595	-718.6441333669965	0.10843946200821195	0.13139952373766542	0.0028957837065676545	0.0031078524148043557	0.0026983058912421263	0.0026259655437230398	0.07443355634672479	0.008088479390089005	0.008902626083428344	0.13382360913963123	0.0578140651993017	0.027664743295109956
35000	-12015.264013606482	-11296.741697288922	-718.5223163175598	0.11931255898653155	0.1223339472796493	0.002916208833012142	0.0026716687493858475	0.002895190712613007	0.0021110857816533535	0.07139575725583083	0.007756189919008503	0.013001964380010382	0.10080102941859223	0.05461329491514231	0.026833018424972724
36000	-12018.207920776833	-11293.98717326462	-724.2207475122132	0.10262930563912229	0.115958573472392	0.002496197468831718	0.002196823535118344	0.0030311342959034576	0.002159159052002692	0.06260575900100444	0.009260216733022596	0.009879519449026396	0.10982933416353056	0.048817298043600375	0.026281162390752677
37000	-12024.40641456073	-11298.713120078208	-725.6932944825226	0.13486818118454882	0.17454327903432393	0.0030916498213379214	0.002838235725667318	0.0024990013429542907	0.0025822335325146805	0.07115628354723222	0.006952561809590187	0.014124215465914807	0.11443654469946186	0.04375047181863239	0.031068045610666874
38000	-12018.451925205753	-11297.295111540205	-721.1568136655478	0.1248582248155414	0.12671887745661436	0.002468086893250661	0.0026414395438245537	0.00323055836783056	0.002751402963962678	0.07729914949994687	0.006836031197965098	0.010283797489480552	0.12700876479295992	0.04792717508101121	0.03190422953954035
39000	-12021.35444868021	-11305.196750435593	-716.1576982446165	0.10646286829604105	0.07689311146309213	0.002694283587101349	0.003198509491396041	0.0028403616246684012	0.002384481294898798	0.0662995282965175	0.009710568556008107	0.011356218407058883	0.10780008348135427	0.04882367062715602	0.027310458970861186
40000	-12023.43764633936	-11307.156859957395	-716.280786381965	0.11965687958068225	0.1464973131759113	0.003333749552672788	0.002682957937602997	0.0027022398039860526	0.002430794489291186	0.060674384518803706	0.011884086706938515	0.008492444056495642	0.13840764726438462	0.05670797864618383	0.02695419148749597
41000	-12014.988935536954	-11298.098650912942	-716.8902846240131	0.1450941906997516	0.09261944538936687	0.0036048785074203177	0.0028788653758041326	0.0027925412752191543	0.002446727576684143	0.07886366285805305	0.008077211333343303	0.010129499427225398	0.08840354017233797	0.05602975247389413	0.02681295117900612
42000	-12014.627405473932	-11313.960798786286	-700.6666066876454	0.12705205887776957	0.12433805550279398	0.004206143553912757	0.002993644420687621	0.003294719713782354	0.002987112664779789	0.0952173924000908	0.011769834729010381	0.012517129303906692	0.10735056058621234	0.06297220872079251	0.031487769177030764
43000	-12018.490622137868	-11304.593433296044	-713.8971888418229	0.1059483705148332	0.08938346939570892	0.0027537681236639417	0.003456133222376735	0.0029701345886756236	0.0028629792022026347	0.06857804912436116	0.00778973530271927	0.011803927328801448	0.11207220092671795	0.046763716383444495	0.026925880601428556
44000	-12018.622267609091	-11300.98561858793	-717.6366490211605	0.16261342697424727	0.10574990828658344	0.0036625728078336374	0.0024184887366634125	0.0032986670607766883	0.002559293444911451	0.0634869254996778	0.007100778848469972	0.011692419555046407	0.12575475273550601	0.051158491206366175	0.028556866184251663
45000	-12020.890854659794	-11302.478186445423	-718.4126682143705	0.17644140248792053	0.16915672597873035	0.0031042357213760608	0.0024520230413071207	0.0031351211527437897	0.0029516423733085976	0.07180567498463057	0.0069069810061314334	0.01165501695928433	0.07460193065071855	0.05874791701159835	0.02700249913576039
46000	-12018.50052076572	-11308.047768485963	-710.4527522797558	0.107584689247731	0.11635698770824791	0.0035214989578991303	0.003548909989355259	0.003220644574270355	0.0022903181402983324	0.06584726160274598	0.008716779188760947	0.010432047228305959	0.09349460057545607	0.05815328731278616	0.024192606275099008
47000	-12017.97618993963	-11302.299140910509	-715.6770490291216	0.07944333856926249	0.09681485769035628	0.0026521314739569525	0.0026349131442025076	0.0035289452571678585	0.0028911745499375125	0.08417056369681382	0.008606498778660536	0.011319886216448095	0.09473757175637343	0.04308015398879752	0.02779691892450096
48000	-12020.457767934815	-11310.207911427307	-710.2498565075081	0.06594112084000787	0.10148462012867715	0.0032553021067005072	0.0034486363870855894	0.002793689708252666	0.003112380229215043	0.08786339690339243	0.008643660683570815	0.012761328442827468	0.11317792350383506	0.04847167335864161	0.03104143865597816
49000	-12020.955228945799	-11300.43010098891	-720.5251279568895	0.09888950044576544	0.04664315609470242	0.003606262974795978	0.00275699986432771	0.003584591185137778	0.002327389275952696	0.08907320007673178	0.0057742051646815905	0.011888179792898126	0.10872389064198004	0.04413691930318962	0.029126096857804505
50000	-12020.018610304427	-11300.095353245006	-719.9232570594208	0.11900539148528268	0.09175646455718667	0.003406287828110184	0.002684038509389482	0.0035407699852541257	0.0025528160814674962	0.06349982744613816	0.0053778070849814135	0.012566664240093051	0.14834678976008556	0.04464759925180786	0.03339705884112949
