#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.model3_19_1_1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.model3_19_1_1" lambda="@lambda" rateprior="gamma" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.model3_19_1_1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.model3_19_1_1" spec="snap.Data">
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="1_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="1_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="2_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="2_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="3_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="3_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="4_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="4_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="5_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="5_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="6_1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="6_2" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.model3_19_1_1" id="treeLikelihood.model3_19_1_1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.model3_19_1_1">
#            <siteModel id="MutationSiteModel.model3_19_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	TreeHeightLogger
0	-10200.84832616258	-9450.622839331285	-750.2254868312949	0.06000675182215505	0.14510478050433406	0.006872558133725954	0.005487192273654684	0.005364947969779729	0.005873474471803759	0.009971984629259042	0.005313521203667254	0.004621993128920148	0.008635653844516368	0.014521214782172592	0.024295856807464367
1000	-10197.165767710783	-9441.7318016906	-755.4339660201831	0.09154590983222793	0.08148563194855894	0.00562807234611021	0.005259856067942712	0.0044095719069550095	0.005335234264295096	0.009071746858628897	0.006339721020200566	0.00452522985932549	0.0070599325615682594	0.015605958704947092	0.021132981993650487
2000	-10204.063863925849	-9457.118547190203	-746.945316735646	0.1409414477616964	0.07323673254178598	0.005874250173349888	0.005771731044706799	0.005641975116600259	0.005628878120530429	0.009247039488059532	0.004894038039117505	0.007156795349802258	0.00630803798053446	0.01824795357696325	0.021215853671173984
3000	-10205.354231970276	-9446.221811184485	-759.1324207857913	0.05670516909097616	0.09718331136592398	0.005031933773956832	0.004649283990399889	0.004327850443264585	0.0056915632183387925	0.01009191123343065	0.0059282589766928035	0.004573940163902665	0.006373585188225055	0.0178583967816924	0.019192380680726057
4000	-10199.549754024769	-9455.902701585614	-743.6470524391559	0.11582522752592052	0.08393852714665583	0.006518309743779553	0.005776491368590807	0.006179314320518683	0.005811443047967005	0.01000057093249781	0.006562018226724839	0.0065875209107331455	0.004398329688113923	0.01941574886994738	0.02194779337834131
5000	-10202.382166707232	-9464.314545725889	-738.067620981343	0.13639595988484923	0.05617053227147986	0.005794158135974046	0.007155858267504332	0.005870130603302371	0.006329367794637147	0.010831308726169376	0.005544690141625142	0.00784522892050577	0.006391794456244477	0.021917566401702265	0.02360410218623514
6000	-10201.007979724953	-9437.137976844997	-763.8700028799566	0.0877084559263284	0.12339887188208676	0.005398941378915579	0.005110696809340395	0.004144300379474444	0.00476689967869746	0.009455195569785059	0.005082447243285962	0.006133676049942923	0.003955383066206553	0.01453666690480162	0.018899791216620384
7000	-10199.095593646145	-9453.802837459643	-745.2927561865009	0.11296856737980675	0.12957452838801561	0.005885391219729339	0.006279823980903278	0.004334595895763189	0.006275201694048105	0.010213373185235582	0.005278670013553193	0.005310991088903895	0.008907114272058942	0.016049427253073317	0.022821158821028347
8000	-10202.72498582291	-9451.271767755034	-751.4532180678758	0.07760213696194869	0.07049898355929689	0.005831411613346232	0.005937080116201625	0.005305067924050178	0.005298820974067752	0.011030062700882996	0.0058062000316875225	0.005287897334121242	0.005708228329374621	0.015342849333802032	0.021902130787677207
9000	-10200.38506474563	-9456.925474950267	-743.4595897953619	0.11472619911535843	0.20003553021040985	0.00689084158356771	0.00598366815240612	0.005562226932698574	0.006635382512668282	0.011035723224441848	0.006207308386826813	0.005980938136043768	0.00647239190607745	0.01470828613675384	0.02441387587615325
10000	-10200.502625728996	-9464.486446454082	-736.0161792749125	0.13074614712022622	0.0940701354614086	0.0072418808009249635	0.005813206749103954	0.005690560948926412	0.0067492073701405225	0.011648444818673286	0.007793449917310027	0.004184737414907154	0.007775989506177391	0.021261867140933654	0.022884960406382486
11000	-10203.730312013253	-9454.702321466788	-749.0279905464648	0.11195026086109199	0.06183917851615091	0.0054809417283888835	0.005391658048538212	0.005156629149380914	0.006176356484667065	0.009869841078578818	0.005024437497925994	0.004609227796893996	0.008953408564659458	0.01944850435583644	0.021241173255314872
12000	-10205.045198998061	-9454.318252569916	-750.7269464281452	0.1314428335947106	0.10035830104479121	0.005514760307205332	0.005533752287125806	0.004851686256155227	0.004926851745882734	0.00990324707431104	0.008264997012588867	0.0032648553661029527	0.008133229208060666	0.01693276090970471	0.022976246135325996
13000	-10208.881069984023	-9454.585982458388	-754.295087525635	0.07844014152689781	0.03512482874680867	0.007515557802787675	0.00531274621454893	0.00578317997913324	0.007115859153348538	0.010600892389971696	0.004740190874433495	0.0046325409718100145	0.007311591918377108	0.013011768308409829	0.02528597802517183
14000	-10201.742711064875	-9440.692644836077	-761.0500662287985	0.14446974724999376	0.10487586385554118	0.005323453163289059	0.005818784194464474	0.004643069913614526	0.005146571345213113	0.009414442833426998	0.0033460621844765416	0.00563312352011965	0.006174505087782629	0.0138657418163778	0.02168516695357523
15000	-10200.513309818172	-9442.060204437892	-758.4531053802809	0.07016220987090595	0.11886367413747362	0.005777869963408299	0.005340413898817148	0.004421389097744227	0.004945259189714612	0.007844295061109867	0.004669145643868374	0.005461878257197931	0.006063009897443858	0.01741682940186514	0.018608066388871275
16000	-10202.806701667363	-9441.579725520332	-761.2269761470304	0.06668013393252922	0.17251335983261004	0.005110658232091015	0.005304926231433969	0.004336106423073403	0.004420580948949	0.009265373935430447	0.005687790236118973	0.005844538151298746	0.004687271595288145	0.017206455837430964	0.018259267984931625
17000	-10199.574463790565	-9454.991111677697	-744.5833521128684	0.08338656210645767	0.08826805008398152	0.005980159359670487	0.006345257554267238	0.005663902475356634	0.006211000652011376	0.009139331207905404	0.005418351406106439	0.006006898760055409	0.006480883861750072	0.018751619430044938	0.022196271267161848
18000	-10196.29141954485	-9456.902095401658	-739.3893241431917	0.11958158783388116	0.09162648912266995	0.006496224289907252	0.005824396313089527	0.006192866291507817	0.005973344075103726	0.010703797323352993	0.0057486044734379625	0.006312822348093403	0.007013842077700093	0.01814878153555341	0.022794639405650522
19000	-10202.842956612243	-9452.064524788824	-750.778431823419	0.07133611190438353	0.0924871863212507	0.006829608590460622	0.00529674362824254	0.005976832220430038	0.005189539764531062	0.010067674614744983	0.005219579453734916	0.006064769982669964	0.006146219713361149	0.015076448949558527	0.022246732396968786
20000	-10201.935763424826	-9469.96292652218	-731.9728369026478	0.09884568273339385	0.13454040640655418	0.006949383590941343	0.005919655930414517	0.005650908999780574	0.0059141058782952016	0.011333514853081128	0.009344540472782582	0.008396867140544596	0.0068903547213429285	0.015805884809039553	0.025887728050023713
21000	-10203.10013012042	-9465.390544179083	-737.7095859413365	0.12965993469275564	0.04261831992186075	0.007853252425815709	0.006994872714568308	0.005665374880805328	0.006124813739436643	0.010853280944258512	0.006286832241080343	0.006136038376990372	0.009596214557121528	0.017040235014955957	0.026425218336085726
22000	-10200.687020431009	-9455.912489273649	-744.7745311573601	0.16469179628054173	0.07608735391723669	0.005741558192807251	0.005129725064633758	0.006034494340760225	0.005585835581866321	0.00958511257135199	0.0072841756303981394	0.0057304923581265686	0.007382271949999479	0.017114255013723243	0.023452716514172925
23000	-10203.443636983799	-9460.144722782443	-743.2989142013558	0.04908697548695975	0.14257834644761658	0.005858227936945742	0.005762825493070588	0.0055777498537536415	0.004722053069909685	0.009729872147724427	0.007158435357223989	0.006950364696331644	0.007532755628394606	0.020000115174290255	0.020560060974129536
24000	-10206.67939848448	-9432.489947322614	-774.1894511618665	0.10902783656599407	0.10014592880693027	0.0042305931153293844	0.004032582328127944	0.003473068978297764	0.004294178587188733	0.00784676060034317	0.0054393420360135565	0.005252880654919187	0.004233167680900883	0.013393486885521468	0.016085556534555033
25000	-10202.413518516176	-9450.520162269666	-751.893356246509	0.07451341385462083	0.0981999994883985	0.00552599984136556	0.005535827544545633	0.005060867916000148	0.005666812258178205	0.009959766869235638	0.00645699422802947	0.006148561451806286	0.0048929309951201766	0.015397899295656377	0.02254291784859161
26000	-10200.67137489065	-9453.394190095105	-747.277184795545	0.0768900171918335	0.06261820854301373	0.006451715634144485	0.0060006749309883005	0.004806191594949558	0.00636734066794009	0.009429553228613413	0.004725970829309154	0.0076174727005398285	0.006544256925902747	0.017238292458956177	0.023052336234180043
27000	-10204.826246489936	-9455.856171259944	-748.9700752299926	0.1267903807398368	0.17743192433898744	0.005625479510211587	0.006406260137693611	0.004454421798492059	0.006112354706317177	0.008561709835150057	0.005085942509473242	0.007300563754529498	0.005737920948342588	0.018770524901605783	0.021181804346136444
28000	-10205.421558398644	-9474.765828193715	-730.6557302049292	0.08366041726193389	0.07835500131425066	0.0075007570730474165	0.006344834974606293	0.0054334285421025474	0.006858501725887128	0.010695802430480586	0.006219074828529162	0.009667344740885408	0.006787321269554675	0.021565784483309324	0.02375312089902464
29000	-10201.658207332765	-9460.234669357504	-741.4235379752604	0.07828853435126065	0.07485091792672315	0.006634833664443529	0.0060352882164744675	0.0049428246470338555	0.004949951557487417	0.009601549648602789	0.009114732627780946	0.008606572408994156	0.004886592642333539	0.019388617128376247	0.022603988628451137
30000	-10201.629956670906	-9464.117152270832	-737.5128044000736	0.10054921592202909	0.06497624796859694	0.006693921152874744	0.006350990289411342	0.005304397280653157	0.006341695966147558	0.011576044630845205	0.006067761360308637	0.007936434797326839	0.00573518769052058	0.021697102487843154	0.02407765206394963
31000	-10204.827247502848	-9456.25026396167	-748.5769835411772	0.0559424054835452	0.11205442637059163	0.005577560100506295	0.00640519237181213	0.004676955490152604	0.006605919953295591	0.009077665485175222	0.005808354663881529	0.008448853053126284	0.004807869465280946	0.016983954683296023	0.02261478106368135
32000	-10208.76613912971	-9444.673182438566	-764.0929566911437	0.09104291953437162	0.11724186790763735	0.00606884956091897	0.00510463123974875	0.004922598304211914	0.005058575149441561	0.009477015827056774	0.004244614224249656	0.007031840450193889	0.004238535046251758	0.009558587630183064	0.021631286436581364
33000	-10204.243516183427	-9474.464590845157	-729.7789253382706	0.1271118235534774	0.08100987953880207	0.006680730907976045	0.00674332241951747	0.0064815364917513735	0.006689110121450111	0.01211852227456454	0.0094723582942862	0.006159531953684405	0.005683170274603134	0.023605668048108812	0.026319670437338207
34000	-10200.320989639575	-9462.157800634592	-738.1631890049823	0.06650517917524565	0.10346988117517612	0.006729750590693027	0.006308477772938237	0.006308819698697357	0.0061570155618463455	0.011843720768461687	0.00778638107569026	0.005732322065151706	0.005288449126101489	0.019925498883831542	0.023701815173432762
35000	-10199.374004863297	-9450.742403075252	-748.6316017880456	0.06224881032659956	0.08715170006468947	0.006555086035691212	0.005404549366306616	0.004954848768088781	0.0053540983599841595	0.010159300584108091	0.00782607764628914	0.006452613801719288	0.004817584161648778	0.01708622572317511	0.023162660774872938
36000	-10198.062136982651	-9446.91901479656	-751.1431221860911	0.07382926929752591	0.11832340773144352	0.005346067125679364	0.004899153769891844	0.004686984630232308	0.005638796999801099	0.009602232359440473	0.007351434049933862	0.006005238934935311	0.006080762296638604	0.01635048095057115	0.020462441344984247
37000	-10201.733063871055	-9451.447372836195	-750.2856910348604	0.1011772387398495	0.13391259601007818	0.0063977818146653135	0.004862359038921994	0.0053871496036894465	0.005772914024972313	0.009490578159517937	0.006784989823587539	0.007545543500960696	0.0034726340105081612	0.01862790586377361	0.021526638163849858
38000	-10204.769980089222	-9449.555843257902	-755.2141368313206	0.0535673975094875	0.12347180777854386	0.005360481574920548	0.004698441406356599	0.005435390153033841	0.00524252951199299	0.010462619704997534	0.0059466648562263675	0.007039002273771205	0.004660518621115658	0.015664519733493053	0.020684956364884016
39000	-10201.62459183173	-9460.422887759143	-741.2017040725884	0.08348772931734354	0.12079258332492379	0.006019828390559605	0.006508077010637422	0.004795224966743149	0.006716364974901003	0.01066361556081667	0.006404753917675981	0.006981903457034641	0.005191786618629941	0.02059844729415792	0.020928003785051726
40000	-10203.38580116698	-9456.566957563153	-746.818843603828	0.13526754845467026	0.15388368283025305	0.0062078881788986745	0.006516903379317165	0.004949573388327752	0.005434829451948217	0.011368957468446258	0.005709527433726919	0.006016682441799044	0.005307557069307793	0.01823317952531953	0.021072500800470417
41000	-10204.60761658116	-9452.479989247837	-752.1276273333224	0.1285641976906252	0.08760444848585139	0.006050887997101751	0.0059548164102524	0.004193337086281355	0.005778280734793544	0.01080546209547443	0.006566491345033452	0.007114367163605301	0.0047174462527712424	0.014896672425020106	0.02412347536958788
42000	-10200.696698085814	-9454.419457165293	-746.2772409205213	0.13290511535427454	0.09030090442045331	0.006034492844039202	0.004667892392846151	0.004398597749566355	0.00590678304738155	0.009487993582692174	0.00805112812358085	0.0056933588852245524	0.0076644822688692596	0.01599053060608583	0.023114102249350652
43000	-10199.795728084071	-9467.906448515865	-731.8892795682065	0.08960703127741898	0.11447300291009008	0.006772159594216874	0.006345078954892677	0.006750719069753389	0.007088188859864931	0.01052807556762722	0.009835773975618604	0.004999804733469426	0.006915674495254898	0.01917764294529009	0.024917397743209425
44000	-10198.66787010106	-9465.686770273805	-732.981099827256	0.07659073188158469	0.08155027298440215	0.006595567670580546	0.00610186566766341	0.005878022557560372	0.00605169177538571	0.010368372173144872	0.008338471768238102	0.005897834615441502	0.008315032333120665	0.023053891625150584	0.024424436912397762
45000	-10200.761490360088	-9451.050476913755	-749.7110134463329	0.06638253468780655	0.09692907303446732	0.005800065342000852	0.005477846572274819	0.005463707642535235	0.006110904365249863	0.009889956057879006	0.007011904973319555	0.003994926788619384	0.0050382235287588315	0.022186359867422567	0.0200998337020144
46000	-10196.89327962671	-9445.37716924191	-751.5161103848005	0.09272238923303298	0.08832088710724792	0.005703961882708426	0.005314364577017115	0.004941026747737891	0.006467082402434908	0.009121293856119093	0.006228662832734312	0.004439802951708653	0.00604856857649447	0.016492695662951515	0.01981418515970474
47000	-10197.007287587094	-9454.399027359917	-742.6082602271758	0.12369807745796722	0.09815975317056949	0.006228967954069063	0.005551423507442533	0.0056608991379214785	0.007132898595573275	0.011179355112210037	0.00680893571057573	0.0042825822593359555	0.007352673745052673	0.016418523511389563	0.023488075794478806
