Species,Vert
ahli,40
allogus,43
rubribarbus,44
imias,42
sagrei,46
bremeri,46
quadriocellifer,42
ophiolepis,51
mestrei,44
jubar,40
homolechis,42
guafe,40
garmani,52
opalinus,46
grahami,43
valencienni,41
lineatopus,43
evermanni,45
stratulus,39
krugi,50
pulchellus,49
gundlachi,45
poncensis,52
cooki,45
cristatellus,40
brevirostris,34
caudalis,35
marron,36
websteri,34
distichus,34
alumina,48
semilineatus,48
olssoni,48
insolitus,40
whitemani,48
haetianus,46
breslini,46
armouri,45
cybotes,46
shrevei,48
longitibialis,44
strahmi,46
marcanoi,47
baleatus,48
barahonae,48
ricordii,50
cuvieri,48
barbatus,36
porcus,39
chamaeleonides,36
guamuhaya,34
isolepis,36
allisoni,51
porcatus,50
loysiana,35
guazuma,38
placidus,40
sheplani,39
angusticeps,43
paternus,49
alutaceus,44
clivicola,39
cupeyalensis,46
cyanopleurus,47
macilentus,47
vanidicus,44
noblei,51
smallwoodi,50
luteogularis,50
equestris,50
bahorucoensis,47
dolichocephalus,48
darlingtoni,50
aliniger,41
singularis,42
chlorocyanus,49
coelestinus,46
occultus,38
agassizi,47
argillaceus,39
auratus,49
barbouri,47
biporcatus,51
capito,37
carolinensis,48
centralis,39
christophei,46
etheridgei,48
fowleri,55
frenatus,48
fuscoauratus,46
humilis,35
lemurinus,44
limifrons,46
lionotus,41
loveridgei,46
lucius,46
microtus,48
pachypus,39
poecilopus,41
polylepis,44
pumilis,40
punctatus,50
reconditus,49
trachyderma,43
transversalis,47
tropidogaster,42
tropidonotus,39
uniformis,38
vermiculatus,47
woodi,52
