"","feed_mode","Max_TL_cm"
"Albula_vulpes","suction",104
"Anguilla_anguilla","suction",50
"Anguilla_bicolor","suction",120
"Anguilla_japonica","suction",150
"Anguilla_rostrata","suction",152
"Ariosoma_anago","suction",60
"Ariosoma_balearicum","suction",35
"Ariosoma_shiroanago","suction",40
"Bathyuroconger_vicinus","bite",88
"Brachysomophis_crocodilinus","bite",120
"Conger_japonicus","suction",140
"Conger_myriaster","suction",100
"Conger_verreaxi","suction",200
"Conger_wilsoni","suction",150
"Congresox_talabonoides","suction",250
"Cynoponticus_ferox","bite",200
"Dysomma_anguillare","bite",52
"Elops_saurus","suction",100
"Facciolella_gilbertii","bite",61
"Gavialiceps_taeniola","bite",64.7
"Gnathophis_longicauda","suction",38.6
"Gorgasia_taiwanensis","suction",74.1
"Gymnothorax_castaneus","bite",150
"Gymnothorax_flavimarginatus","bite",240
"Gymnothorax_kidako","bite",91.5
"Gymnothorax_moringa","bite",200
"Gymnothorax_pseudothyrsoideus","bite",80
"Gymnothorax_reticularis","bite",60
"Heteroconger_hassi","suction",40
"Ichthyapus_ophioneus","bite",45
"Kaupichthys_hyoproroides","bite",30
"Kaupichthys_nuchalis","bite",16
"Megalops_cyprinoides","suction",150
"Moringua_edwardsi","bite",15
"Moringua_javanica","bite",120
"Muraenesox_bagio","bite",200
"Muraenesox_cinereus","bite",220
"Myrichthys_breviceps","suction",102
"Myrichthys_maculosus","suction",100
"Myrichthys_magnificus","suction",78
"Myrophis_vafer","bite",46
"Nemichthys_scolopaceus","bite",130
"Nettastoma_melanurum","bite",77.3
"Ophichthus_serpentinus","suction",68
"Ophichthus_zophochir","suction",88
"Oxyconger_leptognathus","bite",60
"Parabathymyrus_macrophthalmus","suction",47
"Paraconger_notialis","suction",62.7
"Pisodonophis_cancrivorus","bite",108
"Poeciloconger_kapala","suction",60
"Rhinomuraena_quaesita","bite",130
"Rhynchoconger_flavus","suction",150
"Saurenchelys_fierasfer","bite",50
"Scolecenchelys_breviceps","suction",60
"Scuticaria_tigrina","bite",120
"Serrivomer_beanii","bite",78
"Serrivomer_sector","bite",76
"Simenchelys_parasitica","suction",61
"Uroconger_lepturus","suction",52
"Uropterygius_micropterus","bite",30
"Venefica_proboscidea","bite",100
