"","x"
"t70","C+D"
"t71","C+D"
"t47","C+D"
"t169","C+D"
"t170","C+D"
"t67","C+D"
"t68","B+C"
"t62","C+D"
"t59","C"
"t60","C"
"t173","B"
"t174","B"
"t19","B"
"t20","B+C"
"t21","B"
"t15","B"
"t50","B+C"
"t109","B+C"
"t123","B+C"
"t124","B+C"
"t104","B+C"
"t105","B+C"
"t52","B+C"
"t53","B+C"
"t167","C"
"t168","C"
"t141","C"
"t74","C"
"t66","C+D"
"t48","C"
"t181","C+D"
"t182","C+D"
"t2","C"
"t39","C"
"t40","C"
"t4","D"
"t27","C"
"t191","B+C"
"t192","C"
"t28","D"
"t145","C+D"
"t146","C+D"
"t77","C+D"
"t8","D"
"t193","D"
"t194","D"
"t96","D"
"t45","D"
"t86","D"
"t87","D"
"t13","C+D"
"t6","C+D"
"t125","C+D"
"t183","C"
"t184","C"
"t16","C"
"t17","C"
"t135","C"
"t136","C"
"t147","C"
"t148","C"
"t83","C"
"t88","B+C"
"t89","C"
"t78","C"
"t79","C"
"t24","C"
"t187","C"
"t188","C"
"t36","C"
"t29","D"
"t99","C+D"
"t189","C"
"t190","C"
"t115","C"
"t119","C"
"t120","C"
"t121","C"
"t122","C"
"t46","C"
"t49","C"
"t165","C+D"
"t166","C+D"
"t112","C+D"
"t5","B+C"
"t106","B+C"
"t126","B+C"
"t142","B+C"
"t143","B+C"
"t98","C"
"t179","B+C"
"t180","B+C"
"t144","B+C"
"t113","B+C"
"t114","B+C"
"t18","B+C"
"t30","C"
"t155","C"
"t156","C"
"t11","B+C"
"t128","C"
"t129","C+D"
"t127","C"
"t64","C+D"
"t65","C+D"
"t153","C"
"t154","C"
"t185","C"
"t186","C"
"t80","B"
"t81","B"
"t33","C"
"t43","D"
"t151","C+D"
"t152","C+D"
"t82","C+D"
"t97","D"
"t132","D"
"t133","D"
"t61","D"
"t3","A+B"
"t102","B+C"
"t103","B+C"
"t35","B+C"
"t69","A+B"
"t149","B"
"t150","B"
"t7","C+D"
"t92","C+D"
"t93","C+D"
"t110","C+D"
"t111","C+D"
"t197","C"
"t198","C"
"t161","C"
"t157","C"
"t158","C"
"t12","B+C"
"t9","C"
"t41","C"
"t42","C"
"t25","C"
"t37","C"
"t38","C"
"t26","C"
"t10","B+C"
"t90","C+D"
"t94","C+D"
"t95","C+D"
"t54","C"
"t55","C"
"t91","D"
"t171","C"
"t172","C"
"t162","C+D"
"t163","C+D"
"t51","C+D"
"t32","C"
"t177","C"
"t178","C"
"t63","B+C"
"t84","C"
"t85","C"
"t44","C"
"t56","C"
"t199","C"
"t200","C"
"t107","C"
"t108","C"
"t130","C"
"t131","C"
"t31","C"
"t137","C+D"
"t138","C"
"t22","C"
"t139","C+D"
"t140","C+D"
"t118","C+D"
"t72","C+D"
"t73","C"
"t76","C+D"
"t159","C+D"
"t160","C+D"
"t14","D"
"t75","C+D"
"t134","C+D"
"t195","C+D"
"t196","C+D"
"t164","C+D"
"t34","D"
"t100","D"
"t101","D"
"t116","C+D"
"t117","C"
"t23","C+D"
"t175","C+D"
"t176","C+D"
"t57","B+C"
"t58","B+C"
"t1","C+D"
