"","x"
"t15","B"
"t16","C"
"t13","B"
"t14","C"
"t12","C"
"t25","B"
"t26","B"
"t7","A"
"t31","C"
"t32","B"
"t28","B"
"t38","C"
"t50","C"
"t51","C"
"t66","A"
"t67","A"
"t39","A"
"t30","C"
"t20","B"
"t55","B"
"t87","B"
"t88","B"
"t81","C"
"t82","C"
"t61","B"
"t73","B"
"t74","C"
"t46","B"
"t47","B"
"t54","C"
"t62","C"
"t63","C"
"t29","C"
"t72","A"
"t79","A"
"t80","A"
"t64","A"
"t65","A"
"t70","A"
"t71","A"
"t57","A"
"t58","A"
"t44","A"
"t45","A"
"t49","A"
"t85","A"
"t86","A"
"t10","A"
"t27","A"
"t52","A"
"t53","A"
"t68","A"
"t69","A"
"t89","C"
"t90","C"
"t75","C"
"t76","C"
"t5","C"
"t11","C"
"t33","C"
"t77","B"
"t78","B"
"t17","B"
"t9","C"
"t8","C"
"t19","A"
"t21","C"
"t22","C"
"t1","B"
"t6","A"
"t42","A"
"t43","A"
"t2","A"
"t3","B"
"t36","B"
"t37","B"
"t34","C"
"t35","C"
"t23","A"
"t24","A"
"t18","A"
"t83","A"
"t84","A"
"t40","A"
"t41","A"
"t59","A"
"t60","A"
"t56","A"
"t48","A"
"t4","A"
